transaction_id,amount,payment_method,failure_reason,customer_id,customer_transaction_count,customer_success_rate,customer_failure_rate,customer_total_spend,average_order_value,previous_retry_count,time_since_last_success,hour_of_day,day_of_week,merchant_success_rate,payment_method_success_rate,recent_failure_rate,recoverable,recovery_probability
tx_000000,23012487,wallet,authentication_failed,cust_00022,48,0.9375,0.0625,8189.05,170.61,3,55,5,4,0.9009,0.9274,0.0734,1,0.3265
tx_000001,5714060,upi,card_declined,cust_00372,36,0.5833,0.4167,68022.72,1889.52,4,142,5,6,0.9009,0.8039,0.4004,0,0.0202
tx_000002,7763433,emi,user_cancelled,cust_00049,51,0.9216,0.0784,5892.21,115.53,1,79,4,2,0.9009,0.8416,0.1348,0,0.0946
tx_000003,8515388,wallet,user_cancelled,cust_00145,8,0.875,0.125,126380.48,15797.56,4,23,20,1,0.9009,0.9274,0.2128,0,0.0609
tx_000004,13707813,card,insufficient_funds,cust_00401,28,0.9643,0.0357,12840.05,458.57,1,5,7,2,0.9009,0.969,0.0,0,0.2521
tx_000005,21169290,card,temporary_timeout,cust_00063,2,0.5,0.5,60622.16,30311.08,2,168,5,5,0.9009,0.969,0.385,0,0.3052
tx_000006,41036826,netbanking,authentication_failed,cust_00103,27,0.8519,0.1481,104513.9,3870.89,1,86,5,2,0.9009,0.819,0.1812,0,0.2526
tx_000007,35966847,upi,insufficient_funds,cust_00180,57,0.8421,0.1579,209847.9,3681.54,1,100,21,5,0.9009,0.8039,0.3576,0,0.2492
tx_000008,35064504,card,temporary_timeout,cust_00182,21,0.2857,0.7143,188954.88,8997.85,1,15,20,2,0.9009,0.969,0.5461,0,0.305
tx_000009,24921696,emi,insufficient_funds,cust_00029,43,0.6977,0.3023,125510.67,2918.85,3,29,15,0,0.9009,0.8416,0.1755,0,0.1108
tx_000010,41627750,netbanking,network_error,cust_00433,52,0.2692,0.7308,140886.77,2709.36,5,39,12,5,0.9009,0.819,0.8387,1,0.3675
tx_000011,23886171,card,card_declined,cust_00355,32,1.0,0.0,171514.22,5359.82,2,72,11,3,0.9009,0.969,0.0309,0,0.1429
tx_000012,49476137,wallet,user_cancelled,cust_00203,39,0.9231,0.0769,163698.55,4197.4,0,100,17,1,0.9009,0.9274,0.1518,0,0.2167
tx_000013,43651955,emi,card_declined,cust_00385,31,0.871,0.129,629.43,20.3,0,10,21,1,0.9009,0.8416,0.1527,0,0.1238
tx_000014,31464858,emi,card_declined,cust_00157,9,0.8889,0.1111,33956.61,3772.96,5,22,10,2,0.9009,0.8416,0.0308,0,0.0523
tx_000015,9799517,card,gateway_degradation,cust_00107,46,0.913,0.087,134090.98,2915.02,4,59,1,4,0.9009,0.969,0.0504,0,0.3092
tx_000016,33563905,card,card_declined,cust_00474,52,0.9231,0.0769,90718.96,1744.6,1,70,17,1,0.9009,0.969,0.1578,0,0.1249
tx_000017,7045767,emi,user_cancelled,cust_00460,23,0.913,0.087,133882.89,5821.0,1,7,16,6,0.9009,0.8416,0.0,0,0.1728
tx_000018,28105158,upi,network_error,cust_00407,36,0.8889,0.1111,161749.55,4493.04,1,161,0,3,0.9009,0.8039,0.0,1,0.6848
tx_000019,38603874,wallet,card_declined,cust_00387,45,0.9333,0.0667,42416.21,942.58,3,148,9,5,0.9009,0.9274,0.0,1,0.1195
tx_000020,18206598,netbanking,authentication_failed,cust_00417,4,0.75,0.25,155082.53,38770.63,5,21,21,0,0.9009,0.819,0.369,0,0.2048
tx_000021,4497648,emi,user_cancelled,cust_00364,19,0.8947,0.1053,146697.36,7720.91,0,47,9,2,0.9009,0.8416,0.0,0,0.1852
tx_000022,28240442,card,gateway_degradation,cust_00373,14,0.7857,0.2143,28405.28,2028.95,2,119,10,3,0.9009,0.969,0.0733,0,0.3145
tx_000023,49150209,wallet,temporary_timeout,cust_00369,28,0.2857,0.7143,48551.41,1733.98,0,179,9,4,0.9009,0.9274,0.7381,1,0.485
tx_000024,4394470,emi,user_cancelled,cust_00201,18,0.4444,0.5556,195610.29,10867.24,4,173,23,0,0.9009,0.8416,0.682,0,0.02
tx_000025,23218214,card,insufficient_funds,cust_00086,29,0.1379,0.8621,36970.22,1274.84,1,107,6,1,0.9009,0.969,0.8403,0,0.08
tx_000026,30088041,wallet,gateway_degradation,cust_00398,28,0.8214,0.1786,55589.08,1985.32,1,35,2,1,0.9009,0.9274,0.1864,0,0.4563
tx_000027,11273239,netbanking,network_error,cust_00256,42,0.8571,0.1429,60788.91,1447.35,2,112,20,4,0.9009,0.819,0.0668,1,0.4298
tx_000028,21701722,wallet,card_declined,cust_00199,43,0.7442,0.2558,155279.25,3611.15,4,176,3,1,0.9009,0.9274,0.2751,0,0.02
tx_000029,11421674,emi,temporary_timeout,cust_00124,32,0.9062,0.0938,39824.11,1244.5,3,57,1,6,0.9009,0.8416,0.0,0,0.4027
tx_000030,30146614,netbanking,user_cancelled,cust_00433,52,0.2692,0.7308,140886.77,2709.36,0,39,2,5,0.9009,0.819,0.8392,0,0.02
tx_000031,43840073,netbanking,temporary_timeout,cust_00487,26,0.7308,0.2692,80523.16,3097.04,1,33,12,6,0.9009,0.819,0.3195,0,0.4192
tx_000032,21209288,wallet,insufficient_funds,cust_00372,36,0.5833,0.4167,68022.72,1889.52,0,142,23,1,0.9009,0.9274,0.422,0,0.1639
tx_000033,19785336,netbanking,network_error,cust_00252,16,0.875,0.125,12618.04,788.63,4,167,18,6,0.9009,0.819,0.2523,0,0.398
tx_000034,12685818,upi,card_declined,cust_00456,30,0.6,0.4,24654.13,821.8,3,62,19,1,0.9009,0.8039,0.4388,0,0.0205
tx_000035,45897106,wallet,user_cancelled,cust_00003,31,0.9032,0.0968,231727.86,7475.09,0,67,23,2,0.9009,0.9274,0.0865,0,0.1963
tx_000036,11144024,card,network_error,cust_00176,26,0.9615,0.0385,172072.43,6618.17,0,56,14,2,0.9009,0.969,0.0387,1,0.4788
tx_000037,19170018,wallet,card_declined,cust_00258,18,0.8333,0.1667,154970.21,8609.46,3,153,23,3,0.9009,0.9274,0.2117,0,0.02
tx_000038,11808074,upi,insufficient_funds,cust_00441,56,0.4464,0.5536,219751.52,3924.13,3,60,7,4,0.9009,0.8039,0.481,1,0.22
tx_000039,35610294,upi,network_error,cust_00227,34,0.6176,0.3824,113593.34,3340.98,1,4,13,4,0.9009,0.8039,0.3184,1,0.5872
tx_000040,37533275,emi,network_error,cust_00247,26,0.8846,0.1154,807.65,31.06,0,155,20,2,0.9009,0.8416,0.2027,1,0.4782
tx_000041,12917750,wallet,authentication_failed,cust_00179,43,0.8837,0.1163,209157.92,4864.14,3,30,20,1,0.9009,0.9274,0.1341,1,0.3103
tx_000042,20506269,netbanking,authentication_failed,cust_00373,14,0.7857,0.2143,28405.28,2028.95,4,119,19,1,0.9009,0.819,0.0405,1,0.2281
tx_000043,35515343,emi,authentication_failed,cust_00170,52,0.1346,0.8654,14364.2,276.23,0,151,15,2,0.9009,0.8416,0.8891,0,0.175
tx_000044,3104293,card,authentication_failed,cust_00371,18,0.8333,0.1667,17875.34,993.07,3,176,7,1,0.9009,0.969,0.1503,0,0.1751
tx_000045,28951534,upi,network_error,cust_00029,43,0.6977,0.3023,125510.67,2918.85,0,29,3,1,0.9009,0.8039,0.315,0,0.5957
tx_000046,41403377,emi,insufficient_funds,cust_00486,51,0.9804,0.0196,192807.92,3780.55,1,68,6,1,0.9009,0.8416,0.1243,1,0.2439
tx_000047,49491662,card,temporary_timeout,cust_00190,56,0.8929,0.1071,120901.84,2158.96,0,152,1,0,0.9009,0.969,0.0131,0,0.4745
tx_000048,1910705,card,user_cancelled,cust_00066,18,0.8889,0.1111,194462.51,10803.47,3,56,9,6,0.9009,0.969,0.108,0,0.0635
tx_000049,22397267,wallet,insufficient_funds,cust_00469,41,0.8537,0.1463,177107.05,4319.68,4,156,8,1,0.9009,0.9274,0.1274,0,0.1956
tx_000050,21125298,wallet,gateway_degradation,cust_00233,51,0.6471,0.3529,80961.84,1587.49,0,44,18,1,0.9009,0.9274,0.4036,1,0.4419
tx_000051,42827661,wallet,card_declined,cust_00476,44,0.9545,0.0455,232705.78,5288.77,5,80,1,6,0.9009,0.9274,0.0,0,0.072
tx_000052,32541953,netbanking,card_declined,cust_00382,43,0.9535,0.0465,123068.73,2862.06,5,144,2,2,0.9009,0.819,0.0,0,0.0454
tx_000053,31112008,netbanking,gateway_degradation,cust_00169,24,0.9583,0.0417,29406.25,1225.26,2,89,14,1,0.9009,0.819,0.0487,0,0.4976
tx_000054,28000249,wallet,card_declined,cust_00311,3,1.0,0.0,52099.98,17366.66,4,139,14,0,0.9009,0.9274,0.0,0,0.1657
tx_000055,11157277,card,network_error,cust_00217,37,0.8108,0.1892,59795.76,1616.1,1,121,10,5,0.9009,0.969,0.1441,0,0.3757
tx_000056,27048044,emi,authentication_failed,cust_00371,18,0.8333,0.1667,17875.34,993.07,2,176,1,4,0.9009,0.8416,0.1964,0,0.1908
tx_000057,30119748,netbanking,card_declined,cust_00479,40,0.7,0.3,244309.59,6107.74,5,168,17,0,0.9009,0.819,0.3095,0,0.02
tx_000058,16777190,netbanking,network_error,cust_00035,47,0.9574,0.0426,68424.27,1455.84,2,81,13,3,0.9009,0.819,0.1535,1,0.5033
tx_000059,10884960,card,insufficient_funds,cust_00294,31,0.8387,0.1613,49587.17,1599.59,0,84,2,4,0.9009,0.969,0.1887,0,0.188
tx_000060,35488246,netbanking,user_cancelled,cust_00000,39,0.7949,0.2051,214720.18,5505.65,0,79,5,3,0.9009,0.819,0.1903,0,0.0884
tx_000061,31350628,card,insufficient_funds,cust_00483,31,0.6129,0.3871,154638.33,4988.33,1,144,7,2,0.9009,0.969,0.3461,0,0.0832
tx_000062,12536978,card,gateway_degradation,cust_00320,49,0.7143,0.2857,33372.83,681.08,5,78,22,3,0.9009,0.969,0.2897,0,0.2624
tx_000063,11236085,emi,user_cancelled,cust_00179,43,0.8837,0.1163,209157.92,4864.14,4,30,6,2,0.9009,0.8416,0.1333,0,0.0291
tx_000064,490574,wallet,network_error,cust_00125,7,0.8571,0.1429,109757.06,15679.58,5,168,2,3,0.9009,0.9274,0.1168,0,0.4707
tx_000065,10232838,emi,insufficient_funds,cust_00200,59,0.322,0.678,225880.3,3828.48,2,137,12,4,0.9009,0.8416,0.7453,0,0.1
tx_000066,22476118,upi,network_error,cust_00416,3,1.0,0.0,25407.85,8469.28,5,167,22,6,0.9009,0.8039,0.0747,1,0.6689
tx_000067,27386777,upi,card_declined,cust_00018,18,0.7778,0.2222,114999.49,6388.86,0,140,13,1,0.9009,0.8039,0.2442,0,0.1395
tx_000068,40396651,wallet,user_cancelled,cust_00252,16,0.875,0.125,12618.04,788.63,2,167,10,2,0.9009,0.9274,0.1261,0,0.1171
tx_000069,22341802,emi,network_error,cust_00266,51,0.7647,0.2353,184775.81,3623.06,0,127,5,0,0.9009,0.8416,0.1235,1,0.4042
tx_000070,5644939,emi,insufficient_funds,cust_00379,14,0.6429,0.3571,168229.98,12016.43,1,10,6,4,0.9009,0.8416,0.3272,1,0.1032
tx_000071,29107278,card,network_error,cust_00005,7,0.5714,0.4286,16422.41,2346.06,4,100,0,0,0.9009,0.969,0.4679,0,0.2826
tx_000072,33759821,upi,authentication_failed,cust_00424,48,0.8958,0.1042,32449.13,676.02,2,105,9,0,0.9009,0.8039,0.2066,0,0.3998
tx_000073,8971278,card,authentication_failed,cust_00063,2,0.5,0.5,60622.16,30311.08,3,168,21,2,0.9009,0.969,0.5236,0,0.1476
tx_000074,7091204,emi,card_declined,cust_00274,21,0.9048,0.0952,209143.17,9959.2,4,119,4,4,0.9009,0.8416,0.0,0,0.0234
tx_000075,23887783,upi,network_error,cust_00279,10,0.8,0.2,128888.47,12888.85,4,76,8,5,0.9009,0.8039,0.2725,1,0.5883
tx_000076,17984662,netbanking,card_declined,cust_00112,38,0.8684,0.1316,21581.06,567.92,0,130,7,3,0.9009,0.819,0.1583,0,0.1272
tx_000077,40535459,wallet,authentication_failed,cust_00315,52,0.6154,0.3846,212908.0,4094.38,1,128,17,0,0.9009,0.9274,0.3063,0,0.2653
tx_000078,8954136,wallet,gateway_degradation,cust_00051,20,0.95,0.05,168223.9,8411.2,0,20,20,1,0.9009,0.9274,0.0,1,0.6118
tx_000079,41229556,card,temporary_timeout,cust_00041,47,0.9149,0.0851,123750.71,2632.99,3,8,22,3,0.9009,0.969,0.1454,1,0.3579
tx_000080,25941540,upi,network_error,cust_00100,44,0.9545,0.0455,134248.97,3051.11,5,25,12,0,0.9009,0.8039,0.0602,0,0.6996
tx_000081,48536972,emi,gateway_degradation,cust_00098,48,0.4792,0.5208,244902.88,5102.14,1,162,13,5,0.9009,0.8416,0.2291,0,0.3024
tx_000082,24075982,emi,card_declined,cust_00039,40,0.95,0.05,157013.56,3925.34,2,78,15,4,0.9009,0.8416,0.0183,0,0.1349
tx_000083,36502549,card,card_declined,cust_00354,19,0.2105,0.7895,80462.54,4234.87,1,112,20,3,0.9009,0.969,0.784,0,0.02
tx_000084,6565041,emi,network_error,cust_00236,51,0.6863,0.3137,248678.09,4876.04,4,86,0,2,0.9009,0.8416,0.387,1,0.3257
tx_000085,47131291,netbanking,card_declined,cust_00364,19,0.8947,0.1053,146697.36,7720.91,3,47,17,0,0.9009,0.819,0.2657,0,0.0287
tx_000086,39275989,card,user_cancelled,cust_00107,46,0.913,0.087,134090.98,2915.02,1,59,14,4,0.9009,0.969,0.0,0,0.1702
tx_000087,49366265,wallet,card_declined,cust_00047,27,0.9259,0.0741,143146.15,5301.71,3,168,3,3,0.9009,0.9274,0.0,0,0.0674
tx_000088,20786878,upi,temporary_timeout,cust_00044,27,0.9259,0.0741,147933.42,5479.02,2,63,18,5,0.9009,0.8039,0.0986,1,0.7321
tx_000089,15908622,emi,user_cancelled,cust_00012,41,0.878,0.122,57113.88,1393.02,5,86,0,3,0.9009,0.8416,0.0017,0,0.0353
tx_000090,44260394,card,insufficient_funds,cust_00094,15,0.8667,0.1333,143022.55,9534.84,4,45,11,1,0.9009,0.969,0.1097,0,0.1493
tx_000091,27139903,card,temporary_timeout,cust_00070,46,0.9565,0.0435,50344.03,1094.44,1,105,10,0,0.9009,0.969,0.0004,1,0.4873
tx_000092,14017834,netbanking,gateway_degradation,cust_00270,55,0.5455,0.4545,248274.6,4514.08,2,3,0,4,0.9009,0.819,0.3205,0,0.3403
tx_000093,20695279,wallet,temporary_timeout,cust_00307,45,0.8,0.2,135819.92,3018.22,0,111,10,1,0.9009,0.9274,0.2489,1,0.6101
tx_000094,18922990,emi,temporary_timeout,cust_00382,43,0.9535,0.0465,123068.73,2862.06,5,144,12,1,0.9009,0.8416,0.0175,0,0.4824
tx_000095,42721445,wallet,insufficient_funds,cust_00296,19,0.8947,0.1053,85199.7,4484.19,2,123,17,0,0.9009,0.9274,0.1443,0,0.2626
tx_000096,30088569,card,network_error,cust_00162,10,0.9,0.1,143328.25,14332.83,1,41,18,6,0.9009,0.969,0.1304,0,0.4288
tx_000097,49156035,upi,network_error,cust_00142,18,0.8889,0.1111,14779.37,821.08,5,153,17,0,0.9009,0.8039,0.0445,1,0.6583
tx_000098,16847477,card,user_cancelled,cust_00268,47,0.5957,0.4043,173427.31,3689.94,0,26,23,1,0.9009,0.969,0.2932,0,0.02
tx_000099,207334,netbanking,insufficient_funds,cust_00008,46,0.9565,0.0435,116946.89,2542.32,2,35,3,6,0.9009,0.819,0.1094,1,0.1915
tx_000100,47273557,card,user_cancelled,cust_00103,27,0.8519,0.1481,104513.9,3870.89,5,86,6,5,0.9009,0.969,0.0821,0,0.0207
tx_000101,36530328,card,network_error,cust_00252,16,0.875,0.125,12618.04,788.63,3,167,23,6,0.9009,0.969,0.138,0,0.3152
tx_000102,22440205,emi,gateway_degradation,cust_00363,42,0.9048,0.0952,161382.39,3842.44,0,44,6,2,0.9009,0.8416,0.1158,0,0.4624
tx_000103,11376869,emi,network_error,cust_00427,27,0.8889,0.1111,158470.72,5869.29,1,78,16,2,0.9009,0.8416,0.0714,1,0.4787
tx_000104,34017745,upi,user_cancelled,cust_00281,56,0.9107,0.0893,222469.28,3972.67,2,17,4,3,0.9009,0.8039,0.1187,0,0.1087
tx_000105,15208073,netbanking,insufficient_funds,cust_00337,6,0.6667,0.3333,237540.24,39590.04,4,85,11,3,0.9009,0.819,0.1954,0,0.1245
tx_000106,10730849,netbanking,gateway_degradation,cust_00027,26,0.9231,0.0769,42159.74,1621.53,0,146,21,3,0.9009,0.819,0.1536,1,0.5076
tx_000107,47629330,netbanking,temporary_timeout,cust_00171,34,0.8824,0.1176,43662.11,1284.18,1,60,16,5,0.9009,0.819,0.123,0,0.5338
tx_000108,30346278,emi,gateway_degradation,cust_00453,38,0.8684,0.1316,94495.13,2486.71,0,120,17,2,0.9009,0.8416,0.0,1,0.4858
